Neoplasm,Level,Parent,Malignant Primary,Malignant Secondary,Ca in situ,Benign,Uncertain Behavior,Unspecified Behavior
bronchi,2,cartilage(articular) (joint) NEC,C34.0-,C78.39,,D14.3-,D38.1,D49.1
costal,2,cartilage(articular) (joint) NEC,C41.3,C79.51,,D16.7,D48.0,D49.2
cricoid,2,cartilage(articular) (joint) NEC,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
cuneiform,2,cartilage(articular) (joint) NEC,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
ear(external),2,cartilage(articular) (joint) NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
ensiform,2,cartilage(articular) (joint) NEC,C41.3,C79.51,,D16.7,D48.0,D49.2
epiglottis,2,cartilage(articular) (joint) NEC,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
anterior surface,3,epiglottis,C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
eyelid,2,cartilage(articular) (joint) NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
intervertebral,2,cartilage(articular) (joint) NEC,C41.2,C79.51,,D16.6,D48.0,D49.2
"larynx, laryngeal",2,cartilage(articular) (joint) NEC,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
"nose, nasal",2,cartilage(articular) (joint) NEC,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
pinna,2,cartilage(articular) (joint) NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
rib,2,cartilage(articular) (joint) NEC,C41.3,C79.51,,D16.7,D48.0,D49.2
semilunar(knee),2,cartilage(articular) (joint) NEC,C40.2-,C79.51,,D16.2-,D48.0,D49.2
thyroid,2,cartilage(articular) (joint) NEC,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
trachea,2,cartilage(articular) (joint) NEC,C33,C78.39,D02.1,D14.2,D38.1,D49.1
cauda equina,1,Neoplasm, neoplastic,C72.1,C79.49,,D33.4,D43.4,D49.7
cavity,1,Neoplasm, neoplastic,,,,,,
buccal,2,cavity,C06.9,C79.89,D00.00,D10.30,D37.09,D49.0
nasal,2,cavity,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
oral,2,cavity,C06.9,C79.89,D00.00,D10.30,D37.09,D49.0
peritoneal,2,cavity,C48.2,C78.6,,D20.1,D48.4,D49.0
tympanic,2,cavity,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
cecum,1,Neoplasm, neoplastic,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
central nervous system,1,Neoplasm, neoplastic,C72.9,C79.40,,,,
cerebellopontine(angle),1,Neoplasm, neoplastic,C71.6,C79.31,,D33.1,D43.1,D49.6
"cerebellum, cerebellar",1,Neoplasm, neoplastic,C71.6,C79.31,,D33.1,D43.1,D49.6
"cerebrum, cerebra(cortex) (hemisphere) (white matter)",1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
meninges,2,cerebrum, cerebra(cortex) (hemisphere) (white matter),C70.0,C79.32,,D32.0,D42.0,D49.7
peduncle,2,cerebrum, cerebra(cortex) (hemisphere) (white matter),C71.7,C79.31,,D33.1,D43.1,D49.6
ventricle,2,cerebrum, cerebra(cortex) (hemisphere) (white matter),C71.5,C79.31,,D33.0,D43.0,D49.6
fourth,3,ventricle,C71.7,C79.31,,D33.1,D43.1,D49.6
cervical region,1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
cervix(cervical) (uteri) (uterus),1,Neoplasm, neoplastic,C53.9,C79.82,D06.9,D26.0,D39.0,D49.59
canal,2,cervix(cervical) (uteri) (uterus),C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
endocervix(canal) (gland),2,cervix(cervical) (uteri) (uterus),C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
exocervix,2,cervix(cervical) (uteri) (uterus),C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
external os,2,cervix(cervical) (uteri) (uterus),C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
internal os,2,cervix(cervical) (uteri) (uterus),C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
nabothian gland,2,cervix(cervical) (uteri) (uterus),C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
overlapping lesion,2,cervix(cervical) (uteri) (uterus),C53.8,,,,,
squamocolumnar junction,2,cervix(cervical) (uteri) (uterus),C53.8,C79.82,D06.7,D26.0,D39.0,D49.59
stump,2,cervix(cervical) (uteri) (uterus),C53.8,C79.82,D06.7,D26.0,D39.0,D49.59
cheek,1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
external,2,cheek,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
basal cell carcinoma,3,external,C44.319,,,,,
specified type NEC,3,external,C44.399,,,,,
squamous cell carcinoma,3,external,C44.329,,,,,
inner aspect,2,cheek,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
internal,2,cheek,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
mucosa,2,cheek,C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
chest(wall) NEC,1,Neoplasm, neoplastic,C76.1,C79.89,D09.8,D36.7,D48.7,D49.89
chiasma opticum,1,Neoplasm, neoplastic,C72.3-,C79.49,,D33.3,D43.3,D49.7
chin,1,Neoplasm, neoplastic,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
basal cell carcinoma,2,chin,C44.319,,,,,
specified type NEC,2,chin,C44.399,,,,,
squamous cell carcinoma,2,chin,C44.329,,,,,
choana,1,Neoplasm, neoplastic,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
cholangiole,1,Neoplasm, neoplastic,C22.1,C78.89,D01.5,D13.4,D37.6,D49.0
choledochal duct,1,Neoplasm, neoplastic,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
choroid,1,Neoplasm, neoplastic,C69.3-,C79.49,D09.2-,D31.3-,D48.7,D49.81
plexus,2,choroid,C71.5,C79.31,,D33.0,D43.0,D49.6
ciliary body,1,Neoplasm, neoplastic,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
clavicle,1,Neoplasm, neoplastic,C41.3,C79.51,,D16.7,D48.0,D49.2
clitoris,1,Neoplasm, neoplastic,C51.2,C79.82,D07.1,D28.0,D39.8,D49.59
clivus,1,Neoplasm, neoplastic,C41.0,C79.51,,D16.4-,D48.0,D49.2
cloacogenic zone,1,Neoplasm, neoplastic,C21.2,C78.5,D01.3,D12.9,D37.8,D49.0
coccygeal,1,Neoplasm, neoplastic,,,,,,
body or glomus,2,coccygeal,C49.5,C79.89,,D21.5,D48.1,D49.2
vertebra,2,coccygeal,C41.4,C79.51,,D16.8,D48.0,D49.2
coccyx,1,Neoplasm, neoplastic,C41.4,C79.51,,D16.8,D48.0,D49.2
colon,1,Neoplasm, neoplastic,C18.9,C78.5,,,,
with rectum,2,colon,C19,C78.5,D01.1,D12.7,D37.5,D49.0
"column, spinal",1,Neoplasm, neoplastic,,,,,,
columnella,1,Neoplasm, neoplastic,C44.390,C79.2,D04.39,D23.39,D48.5,D49.2
commissure,1,Neoplasm, neoplastic,,,,,,
"labial, lip",2,commissure,C00.6,C79.89,D00.01,D10.39,D37.01,D49.0
laryngeal,2,commissure,C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
common(bile) duct,1,Neoplasm, neoplastic,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
concha,1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
nose,2,concha,C30.0,C78.39,D02.3,D14.0,D38.5,D49.1
conjunctiva,1,Neoplasm, neoplastic,C69.0-,C79.49,D09.2-,D31.0-,D48.7,D49.89
connective tissue NEC,1,Neoplasm, neoplastic,C49.9,C79.89,,D21.9,D48.1,D49.2
abdomen,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
abdominal wall,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
ankle,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
antecubital fossa or space,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
arm,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
auricle(ear),2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
axilla,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
back,2,connective tissue NEC,C49.6,C79.89,,D21.6,D48.1,D49.2
breast,2,connective tissue NEC,,,,,,
buttock,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
calf,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
cervical region,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
cheek,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
chest(wall),2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
chin,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
diaphragm,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
ear(external),2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
elbow,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
extrarectal,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
extremity,2,connective tissue NEC,C49.9,C79.89,,D21.9,D48.1,D49.2
lower,3,extremity,C49.2-,C79.89,,D21.2-,D48.1,D49.2
upper,3,extremity,C49.1-,C79.89,,D21.1-,D48.1,D49.2
eyelid,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
face,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
finger,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
flank,2,connective tissue NEC,C49.6,C79.89,,D21.6,D48.1,D49.2
foot,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
forearm,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
forehead,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
gastric,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
gastrointestinal,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
gluteal region,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
great vessels NEC,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
groin,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
hand,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
head,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
heel,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
hip,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
hypochondrium,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
iliopsoas muscle,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
infraclavicular region,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
inguinal(canal) (region),2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
intestinal,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
intrathoracic,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
ischiorectal fossa,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
jaw,2,connective tissue NEC,C03.9,C79.89,D00.03,D10.39,D48.1,D49.0
knee,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
leg,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
limb NEC,2,connective tissue NEC,C49.9,C79.89,,D21.9,D48.1,D49.2
lower,3,limb NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
upper,3,limb NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
nates,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
neck,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
orbit,2,connective tissue NEC,C69.6-,C79.49,D09.2-,D31.6-,D48.1,D49.89
overlapping lesion,2,connective tissue NEC,C49.8,,,,,
pararectal,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
para-urethral,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
paravaginal,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
pelvis(floor),2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
pelvo-abdominal,2,connective tissue NEC,C49.8,C79.89,,D21.6,D48.1,D49.2
perineum,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
perirectal(tissue),2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
periurethral(tissue),2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
popliteal fossa or space,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
presacral,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
psoas muscle,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
pterygoid fossa,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
rectovaginal septum or wall,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
rectovesical,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
retroperitoneum,2,connective tissue NEC,C48.0,C78.6,,D20.0,D48.3,D49.0
sacrococcygeal region,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
scalp,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
scapular region,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
shoulder,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
skin(dermis) NEC,2,connective tissue NEC,C44.90,C79.2,D04.9,D23.9,D48.5,D49.2
stomach,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
submental,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
supraclavicular region,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
temple,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
temporal region,2,connective tissue NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
thigh,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
thoracic(duct) (wall),2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
thorax,2,connective tissue NEC,C49.3,C79.89,,D21.3,D48.1,D49.2
thumb,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
toe,2,connective tissue NEC,C49.2-,C79.89,,D21.2-,D48.1,D49.2
trunk,2,connective tissue NEC,C49.6,C79.89,,D21.6,D48.1,D49.2
umbilicus,2,connective tissue NEC,C49.4,C79.89,,D21.4,D48.1,D49.2
vesicorectal,2,connective tissue NEC,C49.5,C79.89,,D21.5,D48.1,D49.2
wrist,2,connective tissue NEC,C49.1-,C79.89,,D21.1-,D48.1,D49.2
conus medullaris,1,Neoplasm, neoplastic,C72.0,C79.49,,D33.4,D43.4,D49.7
cord(true) (vocal),1,Neoplasm, neoplastic,C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
false,2,cord(true) (vocal),C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
spermatic,2,cord(true) (vocal),C63.1-,C79.82,D07.69,D29.8,D40.8,D49.59
spinal(cervical) (lumbar) (thoracic),2,cord(true) (vocal),C72.0,C79.49,,D33.4,D43.4,D49.7
cornea(limbus),1,Neoplasm, neoplastic,C69.1-,C79.49,D09.2-,D31.1-,D48.7,D49.89
corpus,1,Neoplasm, neoplastic,,,,,,
albicans,2,corpus,C56.-,C79.6-,D07.39,D27.-,D39.1-,D49.59
"callosum, brain",2,corpus,C71.0,C79.31,,D33.2,D43.2,D49.6
cavernosum,2,corpus,C60.2,C79.82,D07.4,D29.0,D40.8,D49.59
gastric,2,corpus,C16.2,C78.89,D00.2,D13.1,D37.1,D49.0
overlapping sites,2,corpus,C54.8,,,,,
penis,2,corpus,C60.2,C79.82,D07.4,D29.0,D40.8,D49.59
"striatum, cerebrum",2,corpus,C71.0,C79.31,,D33.0,D43.0,D49.6
uteri,2,corpus,C54.9,C79.82,D07.0,D26.1,D39.0,D49.59
isthmus,3,uteri,C54.0,C79.82,D07.0,D26.1,D39.0,D49.59
cortex,1,Neoplasm, neoplastic,,,,,,
adrenal,2,cortex,C74.0-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
cerebral,2,cortex,C71.0,C79.31,,D33.0,D43.0,D49.6
costal cartilage,1,Neoplasm, neoplastic,C41.3,C79.51,,D16.7,D48.0,D49.2
costovertebral joint,1,Neoplasm, neoplastic,C41.3,C79.51,,D16.7,D48.0,D49.2
Cowper's gland,1,Neoplasm, neoplastic,C68.0,C79.19,D09.19,D30.4,D41.3,D49.59
"cranial(fossa, any)",1,Neoplasm, neoplastic,C71.9,C79.31,,D33.2,D43.2,D49.6
meninges,2,cranial(fossa, any),C70.0,C79.32,,D32.0,D42.0,D49.7
nerve,2,cranial(fossa, any),C72.50,C79.49,,D33.3,D43.3,D49.7
specified NEC,3,nerve,C72.59,C79.49,,D33.3,D43.3,D49.7
craniobuccal pouch,1,Neoplasm, neoplastic,C75.2,C79.89,D09.3,D35.2,D44.3,D49.7
craniopharyngeal(duct) (pouch),1,Neoplasm, neoplastic,C75.2,C79.89,D09.3,D35.3,D44.4,D49.7
cricoid,1,Neoplasm, neoplastic,C13.0,C79.89,D00.08,D10.7,D37.05,D49.0
cartilage,2,cricoid,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
cricopharynx,1,Neoplasm, neoplastic,C13.0,C79.89,D00.08,D10.7,D37.05,D49.0
crypt of Morgagni,1,Neoplasm, neoplastic,C21.8,C78.5,D01.3,D12.9,D37.8,D49.0
crystalline lens,1,Neoplasm, neoplastic,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
cul-de-sac(Douglas'),1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
cuneiform cartilage,1,Neoplasm, neoplastic,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
cutaneous,1,Neoplasm, neoplastic,,,,,,
cutis,1,Neoplasm, neoplastic,,,,,,
cystic(bile) duct (common),1,Neoplasm, neoplastic,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
dermis,1,Neoplasm, neoplastic,,,,,,
diaphragm,1,Neoplasm, neoplastic,C49.3,C79.89,,D21.3,D48.1,D49.2
"digestive organs, system, tube, or tract NEC",1,Neoplasm, neoplastic,C26.9,C78.89,D01.9,D13.9,D37.9,D49.0
"disc, intervertebral",1,Neoplasm, neoplastic,C41.2,C79.51,,D16.6,D48.0,D49.2
"disease, generalized",1,Neoplasm, neoplastic,C80.0,,,,,
disseminated,1,Neoplasm, neoplastic,C80.0,,,,,
Douglas' cul-de-sac or pouch,1,Neoplasm, neoplastic,C48.1,C78.6,,D20.1,D48.4,D49.0
duodenojejunal junction,1,Neoplasm, neoplastic,C17.8,C78.4,D01.49,D13.39,D37.2,D49.0
duodenum,1,Neoplasm, neoplastic,C17.0,C78.4,D01.49,D13.2,D37.2,D49.0
dura(cranial) (mater),1,Neoplasm, neoplastic,C70.9,C79.49,,D32.9,D42.9,D49.7
cerebral,2,dura(cranial) (mater),C70.0,C79.32,,D32.0,D42.0,D49.7
spinal,2,dura(cranial) (mater),C70.1,C79.49,,D32.1,D42.1,D49.7
ear(external),1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
auricle or auris,2,ear(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
"canal, external",2,ear(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
cartilage,2,ear(external),C49.0,C79.89,,D21.0,D48.1,D49.2
external meatus,2,ear(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
inner,2,ear(external),C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
lobule,2,ear(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
middle,2,ear(external),C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
overlapping lesion with accessory sinuses,2,ear(external),C31.8,,,,,
skin,2,ear(external),C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
basal cell carcinoma,3,skin,C44.21-,,,,,
specified type NEC,3,skin,C44.29-,,,,,
squamous cell carcinoma,3,skin,C44.22-,,,,,
earlobe,1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
basal cell carcinoma,2,earlobe,C44.21-,,,,,
specified type NEC,2,earlobe,C44.29-,,,,,
squamous cell carcinoma,2,earlobe,C44.22-,,,,,
ejaculatory duct,1,Neoplasm, neoplastic,C63.7,C79.82,D07.69,D29.8,D40.8,D49.59
elbow NEC,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
endocardium,1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
endocervix(canal) (gland),1,Neoplasm, neoplastic,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
endocrine gland NEC,1,Neoplasm, neoplastic,C75.9,C79.89,D09.3,D35.9,D44.9,D49.7
pluriglandular,2,endocrine gland NEC,C75.8,C79.89,D09.3,D35.7,D44.9,D49.7
endometrium(gland) (stroma),1,Neoplasm, neoplastic,C54.1,C79.82,D07.0,D26.1,D39.0,D49.59
ensiform cartilage,1,Neoplasm, neoplastic,C41.3,C79.51,,D16.7,D48.0,D49.2
enteric,1,Neoplasm, neoplastic,,,,,,
ependyma(brain),1,Neoplasm, neoplastic,C71.5,C79.31,,D33.0,D43.0,D49.6
fourth ventricle,2,ependyma(brain),C71.7,C79.31,,D33.1,D43.1,D49.6
epicardium,1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
epididymis,1,Neoplasm, neoplastic,C63.0-,C79.82,D07.69,D29.3-,D40.8,D49.59
epidural,1,Neoplasm, neoplastic,C72.9,C79.49,,D33.9,D43.9,D49.7
epiglottis,1,Neoplasm, neoplastic,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
anterior aspect or surface,2,epiglottis,C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
cartilage,2,epiglottis,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
free border(margin),2,epiglottis,C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
junctional region,2,epiglottis,C10.8,C79.89,D00.08,D10.5,D37.05,D49.0
posterior(laryngeal) surface,2,epiglottis,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
suprahyoid portion,2,epiglottis,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
esophagogastric junction,1,Neoplasm, neoplastic,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
esophagus,1,Neoplasm, neoplastic,C15.9,C78.89,D00.1,D13.0,D37.8,D49.0
abdominal,2,esophagus,C15.5,C78.89,D00.1,D13.0,D37.8,D49.0
cervical,2,esophagus,C15.3,C78.89,D00.1,D13.0,D37.8,D49.0
distal(third),2,esophagus,C15.5,C78.89,D00.1,D13.0,D37.8,D49.0
lower(third),2,esophagus,C15.5,C78.89,D00.1,D13.0,D37.8,D49.0
middle(third),2,esophagus,C15.4,C78.89,D00.1,D13.0,D37.8,D49.0
overlapping lesion,2,esophagus,C15.8,,,,,
proximal(third),2,esophagus,C15.3,C78.89,D00.1,D13.0,D37.8,D49.0
thoracic,2,esophagus,C15.4,C78.89,D00.1,D13.0,D37.8,D49.0
upper(third),2,esophagus,C15.3,C78.89,D00.1,D13.0,D37.8,D49.0
ethmoid(sinus),1,Neoplasm, neoplastic,C31.1,C78.39,D02.3,D14.0,D38.5,D49.1
bone or labyrinth,2,ethmoid(sinus),C41.0,C79.51,,D16.4-,D48.0,D49.2
eustachian tube,1,Neoplasm, neoplastic,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
exocervix,1,Neoplasm, neoplastic,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
external,1,Neoplasm, neoplastic,,,,,,
meatus(ear),2,external,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
"os, cervix uteri",2,external,C53.1,C79.82,D06.1,D26.0,D39.0,D49.59
extradural,1,Neoplasm, neoplastic,C72.9,C79.49,,D33.9,D43.9,D49.7
extrahepatic(bile) duct,1,Neoplasm, neoplastic,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
overlapping lesion with gallbladder,2,extrahepatic(bile) duct,C24.8,,,,,
extraocular muscle,1,Neoplasm, neoplastic,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
extrarectal,1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
extremity,1,Neoplasm, neoplastic,C76.8,C79.89,D04.8,D36.7,D48.7,D49.89
lower,2,extremity,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
upper,2,extremity,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
eye NEC,1,Neoplasm, neoplastic,C69.9-,C79.49,D09.2,D31.9,D48.7,D49.89
overlapping sites,2,eye NEC,C69.8,,,,,
eyeball,1,Neoplasm, neoplastic,C69.9-,C79.49,D09.2-,D31.9-,D48.7,D49.89
eyebrow,1,Neoplasm, neoplastic,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
basal cell carcinoma,2,eyebrow,C44.319,,,,,
specified type NEC,2,eyebrow,C44.399,,,,,
squamous cell carcinoma,2,eyebrow,C44.329,,,,,
eyelid(lower) (skin) (upper),1,Neoplasm, neoplastic,C44.10-,,,,,
basal cell carcinoma,2,eyelid(lower) (skin) (upper),C44.11-,,,,,
sebaceous cell,2,eyelid(lower) (skin) (upper),C44.13-,,,,,
specified type NEC,2,eyelid(lower) (skin) (upper),C44.19-,,,,,
squamous cell carcinoma,2,eyelid(lower) (skin) (upper),C44.12-,,,,,
cartilage,2,eyelid(lower) (skin) (upper),C49.0,C79.89,,D21.0,D48.1,D49.2
face NEC,1,Neoplasm, neoplastic,C76.0,C79.89,D04.39,D36.7,D48.7,D49.89
fallopian tube(accessory),1,Neoplasm, neoplastic,C57.0-,C79.82,D07.39,D28.2,D39.8,D49.59
falx(cerebella) (cerebri),1,Neoplasm, neoplastic,C70.0,C79.32,,D32.0,D42.0,D49.7
fascia,1,Neoplasm, neoplastic,,,,,,
palmar,2,fascia,C49.1-,C79.89,,D21.1-,D48.1,D49.2
plantar,2,fascia,C49.2-,C79.89,,D21.2-,D48.1,D49.2
fatty tissue,1,Neoplasm, neoplastic,,,,,,
"fauces, faucial NEC",1,Neoplasm, neoplastic,C10.9,C79.89,D00.08,D10.5,D37.05,D49.0
pillars,2,fauces, faucial NEC,C09.1,C79.89,D00.08,D10.5,D37.05,D49.0
tonsil,2,fauces, faucial NEC,C09.9,C79.89,D00.08,D10.4,D37.05,D49.0
femur(any part),1,Neoplasm, neoplastic,C40.2-,,,D16.2-,,
fetal membrane,1,Neoplasm, neoplastic,C58,C79.82,D07.0,D26.7,D39.2,D49.59
fibrous tissue,1,Neoplasm, neoplastic,,,,,,
fibula(any part),1,Neoplasm, neoplastic,C40.2-,C79.51,,D16.2-,,
filum terminale,1,Neoplasm, neoplastic,C72.0,C79.49,,D33.4,D43.4,D49.7
finger NEC,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
