histology,behavior,preferred,description
8254,3,1,Mixed invasive mucinous and non-mucinous adenocarcinoma (C34._) 
8254,3,0,"Adenocarcinoma, mixed invasive mucinous and non-mucinous (C34._) "
8254,3,0,"Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type (C34._)"
8254,3,0,"Bronchiolo-alveolar carcinoma, indeterminate type (C34._)"
8254,3,0,"Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous (C34._)"
8254,3,0,"Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type (C34._)"
8254,3,0,"Carcinoma, bronchiolo-alveolar, Clara cell and goblet cell type (C34._)"
8254,3,0,"Carcinoma, bronchiolo-alveolar, indeterminate type (C34._)"
8254,3,0,"Carcinoma, bronchiolo-alveolar, mixed mucinous and non-mucinous (C34._)"
8254,3,0,"Carcinoma, bronchiolo-alveolar, type II pneumocyte and goblet cell (C34._)"
8254,3,0,Clara cell and goblet cell type bronchiolo-alveolar carcinoma (C34._)
8254,3,0,"Goblet cell type, bronchiolo-alveolar carcinoma, Clara cell and (C34._)"
8254,3,0,"Goblet cell type, bronchiolo-alveolar carcinoma, type II pneumocyte and (C34._)"
8254,3,0,Indeterminate type bronchiolo-alveolar carcinoma (C34._)
8254,3,0,Mixed mucinous and non-mucinous bronchiolo-alveolar carcinoma (C34._)
8254,3,0,Mixed non-mucinous and mucinous bronchiolo-alveolar carcinoma (C34._)
8254,3,0,"Mucinous and non-mucinous adenocarcinoma, mixed (C34._)"
8254,3,0,"Mucinous bronchiolo-alveolar carcinoma, non-mucinous and, mixed (C34._)"
8254,3,0,"Non-mucinous and mucinous bronchiolo-alveolar carcinoma, mixed (C34._)"
8254,3,0,"Pneumocyte, type II and goblet cell type bronchiolo-alveolar carcinoma (C34._)"
8255,3,1,Adenocarcinoma with mixed subtypes
8255,3,0,Adenocarcinoma combined with other types of carcinoma
8255,3,0,"Adenocarcinoma with other types of carcinoma, combined"
8255,3,0,"Adenocarcinoma, pancreatobiliary-type (C24.1)  [2015-2017. FOR 2018+ USE 8163/3]"
8255,3,0,"Carcinoma, combined adenocarcinoma with other types of carcinoma"
8255,3,0,Pancreatobiliary-type carcinoma (C24.1) [2015-2017. FOR 2018+ USE 8163/3]
8256,3,1,"Minimally invasive adenocarcinoma, non-mucinous (C34._) [2018+]"
8256,3,0,"Adenocarcinoma, minimally invasive, non-mucinous (C34._) [2018+]"
8256,3,0,"Non-mucinous adenocarcinoma, minimally invasive (C34._) [2018+]"
8257,3,1,"Minimally invasive adenocarcinoma, mucinous (C34._) [2018+]"
8257,3,0,"Adenocarcinoma, minimally invasive, mucinous (C34._) [2018+]"
8257,3,0,"Mucinous adenocarcinoma, minimally invasive (C34._) [2018+]"
8260,0,1,"Papillary adenoma, NOS"
8260,0,0,"Adenoma, papillary, NOS"
8260,0,0,Glandular papilloma
8260,0,0,"Papilloma, glandular"
8260,3,1,"Papillary adenocarcinoma, NOS"
8260,3,0,"Adenocarcinoma, papillary, NOS"
8260,3,0,"Carcinoma, papillary renal cell (C64.9)"
8260,3,0,"Carcinoma, papillary, thyroid (C73.9)"
8260,3,0,"Carcinoma, renal cell, papillary (C64.9)"
8260,3,0,Papillary carcinoma of thyroid (C73.9)
8260,3,0,"Papillary carcinoma, thyroid (C73.9)"
8260,3,0,Papillary renal cell carcinoma (C64.9)
8261,0,1,"Villous adenoma, NOS"
8261,0,0,"Adenoma, villous, NOS"
8261,0,0,"Papilloma, villous"
8261,0,0,Villous papilloma
8261,2,1,Adenocarcinoma in situ in villous adenoma
8261,2,0,"Adenoma, villous, adenocarcinoma in situ in"
8261,2,0,High grade villous adenoma [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]
8261,2,0,"In situ adenocarcinoma, in villous adenoma"
8261,2,0,"Villous adenoma, adenocarcinoma in situ in"
8261,2,0,"Villous adenoma, high grade [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8261,3,1,Adenocarcinoma in villous adenoma
8261,3,0,"Adenoma, villous, adenocarcinoma in"
8261,3,0,"Villous adenoma, adenocarcinoma in"
8262,3,1,Villous adenocarcinoma
8262,3,0,"Adenocarcinoma, adenoma-like [2022+]"
8262,3,0,"Adenocarcinoma, villous"
8262,3,0,Adenoma-like adenocarcinoma [2022+]
8263,0,1,"Tubulovillous adenoma, NOS"
8263,0,0,"Adenoma, papillotubular"
8263,0,0,"Adenoma, tubulovillous, NOS"
8263,0,0,"Adenoma, villoglandular"
8263,0,0,Papillotubular adenoma
8263,0,0,Tubulo-papillary adenoma
8263,0,0,Villoglandular adenoma
8263,2,1,Adenocarcinoma in situ in tubulovillous adenoma
8263,2,0,"Adenoma, tubulovillous, adenocarcinoma in situ in"
8263,2,0,High grade tubulovillous adenoma [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]
8263,2,0,"In situ adenocarcinoma, in tubulovillous adenoma"
8263,2,0,"Tubulovillous adenoma, adenocarcinoma in situ in"
8263,2,0,"Tubulovillous adenoma, high grade [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8263,3,1,Adenocarcinoma in tubulovillous adenoma
8263,3,0,"Adenocarcinoma, papillotubular"
8263,3,0,"Adenocarcinoma, tubulopapillary"
8263,3,0,"Adenocarcinoma, villoglandular endometrioid (C54._, C55.9) "
8263,3,0,"Adenoma, tubulovillous, adenocarcinoma in"
8263,3,0,"Carcinoma, villoglandular (C53._)"
8263,3,0,"Endometrioid adenocarcinoma, villoglandular (C54._, C55.9) "
8263,3,0,Papillotubular adenocarcinoma
8263,3,0,Tubulopapillary adenocarcinoma
8263,3,0,"Tubulovillous adenoma, adenocarcinoma in"
8263,3,0,"Villoglandular adenocarcinoma, endometrioid (C54._, C55.9) "
8263,3,0,Villoglandular carcinoma (C53._)
8264,0,1,"Papillomatosis, glandular"
8264,0,0,"Biliary papillomatosis (C22.1, C24.0)"
8264,0,0,Glandular papillomatosis
8264,0,0,"Papillomatosis, biliary (C22.1, C24.0)"
8265,3,1,"Micropapillary carcinoma, NOS (C18._, C19.9, C20.9, C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]"
8265,3,0,"Adenocarcinoma, micropapillary (C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]"
8265,3,0,"Carcinoma, micropapillary, NOS (C18._, C19.9, C20.9, C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]"
8265,3,0,"Micropapillary adenocarcinoma (C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]"
8270,0,1,Chromophobe adenoma (C75.1)
8270,0,0,"Adenoma, chromophobe (C75.1)"
8270,3,1,Chromophobe carcinoma (C75.1)
8270,3,0,"Adenocarcinoma, chromophobe (C75.1)"
8270,3,0,"Carcinoma, chromophobe (C75.1)"
8270,3,0,Chromophobe adenocarcinoma (C75.1)
8271,0,1,Prolactinoma (C75.1)
8272,0,1,"Pituitary adenoma, NOS (C75.1)"
8272,0,0,"Adenoma, pituitary, NOS (C75.1)"
8272,3,1,"Pituitary carcinoma, NOS (C75.1)"
8272,3,0,"Carcinoma, pituitary, NOS (C75.1)"
8273,3,1,Pituitary blastoma (C75.1) [REPORTABLE 2021+]
8273,3,0,"Blastoma, pituitary (C75.1) [REPORTABLE 2021+]"
8273,3,0,Embryoma [REPORTABLE 2021+]
8280,0,1,Acidophil adenoma (C75.1)
8280,0,0,"Adenoma, acidophil (C75.1)"
8280,0,0,"Adenoma, eosinophil (C75.1)"
8280,0,0,Eosinophil adenoma (C75.1)
8280,3,1,Acidophil carcinoma (C75.1)
8280,3,0,Acidophil adenocarcinoma (C75.1)
8280,3,0,"Adenocarcinoma, acidophil (C75.1)"
8280,3,0,"Adenocarcinoma, eosinophil (C75.1)"
8280,3,0,"Carcinoma, acidophil (C75.1)"
8280,3,0,"Carcinoma, eosinophil (C75.1)"
8280,3,0,Eosinophil adenocarcinoma (C75.1)
8280,3,0,Eosinophil carcinoma (C75.1)
8281,0,1,Mixed acidophil-basophil adenoma (C75.1)
8281,0,0,"Acidophil-basophil adenoma, mixed (C75.1)"
8281,0,0,"Adenoma, acidophil-basophil, mixed (C75.1)"
8281,0,0,"Adenoma, basophil-acidophil, mixed (C75.1)"
8281,0,0,"Adenoma, mixed acidophil-basophil (C75.1)"
8281,0,0,"Basophil acidophil adenoma, mixed (C75.1)"
8281,0,0,"Basophil-acidophil adenoma, mixed (C75.1)"
8281,0,0,Mixed basophil-acidophil adenoma (C75.1)
8281,3,1,Mixed acidophil-basophil carcinoma (C75.1)
8281,3,0,"Acidophil-basophil carcinoma, mixed (C75.1)"
8281,3,0,"Basophil acidophil carcinoma, mixed (C75.1)"
8281,3,0,"Basophil-acidophil carcinoma, mixed (C75.1)"
8281,3,0,"Carcinoma, acidophil-basophil, mixed (C75.1)"
8281,3,0,"Carcinoma, basophil-acidophil, mixed (C75.1)"
8281,3,0,Mixed basophil-acidophil carcinoma (C75.1)
8290,0,1,Oxyphilic adenoma
8290,0,0,"Adenoma, follicular, oxyphilic cell (C73.9)"
8290,0,0,"Adenoma, Hurthle cell (C73.9)"
8290,0,0,"Adenoma, oncocytic"
8290,0,0,"Adenoma, oxyphilic"
8290,0,0,"Adenoma, oxyphilic cell follicular (C73.9)"
8290,0,0,"Follicular adenoma, oxyphilic cell (C73.9)"
8290,0,0,Hurthle cell adenoma (C73.9)
8290,0,0,Hurthle cell tumor (C73.9)
8290,0,0,Oncocytic adenoma
8290,0,0,Oncocytoma
8290,0,0,Oxyphilic cell follicular adenoma (C73.9)
8290,0,0,Spindle cell oncocytoma (C75.1)
8290,0,0,"Tumor, Hurthle cell (C73.9)"
8290,3,1,Oxyphilic adenocarcinoma
8290,3,0,"Adenocarcinoma, Hurthle cell (C73.9)"
8290,3,0,"Adenocarcinoma, oncocytic"
8290,3,0,"Adenocarcinoma, oxyphilic"
8290,3,0,"Carcinoma, follicular, oxyphilic cell (C73.9)"
8290,3,0,"Carcinoma, Hurthle cell (C73.9)"
8290,3,0,"Carcinoma, oncocytic"
8290,3,0,"Follicular carcinoma, oxyphilic cell (C73.9)"
8290,3,0,Hurthle cell adenocarcinoma (C73.9)
8290,3,0,Hurthle cell carcinoma (C73.9)
8290,3,0,Oncocytic adenocarcinoma
8290,3,0,Oncocytic carcinoma
8290,3,0,Oxyphilic cell follicular carcinoma (C73.9)
8300,0,1,Basophil adenoma (C75.1)
8300,0,0,"Adenoma, basophil (C75.1)"
8300,0,0,"Adenoma, mucoid cell (C75.1)"
8300,0,0,Mucoid cell adenoma (C75.1)
8300,3,1,Basophil carcinoma (C75.1)
8300,3,0,"Adenocarcinoma, basophil (C75.1)"
8300,3,0,"Adenocarcinoma, mucoid cell (C75.1)"
8300,3,0,Basophil adenocarcinoma (C75.1)
8300,3,0,"Carcinoma, basophil (C75.1)"
8300,3,0,Mucoid cell adenocarcinoma (C75.1)
8310,0,1,Clear cell adenoma
8310,0,0,"Adenoma, clear cell"
8310,3,1,"Clear cell adenocarcinoma, NOS"
8310,3,0,"Adenocarcinoma, clear cell, mesonephroid"
8310,3,0,"Adenocarcinoma, clear cell, NOS"
8310,3,0,"Adenocarcinoma, HPV-independent, clear cell type (C53._) [2022+]"
8310,3,0,"Adenocarcinoma, mesonephroid, clear cell"
8310,3,0,"Carcinoma, clear cell"
8310,3,0,"Clear cell adenocarcinoma, mesonephroid"
8310,3,0,Clear cell carcinoma
8310,3,0,"HPV-independent adenocarcinoma, clear cell type (C53._) [2022+]"
8310,3,0,Mesonephroid clear cell adenocarcinoma
8311,1,1,Hypernephroid tumor [obs]
8311,1,0,"Tumor, hypernephroid [obs]"
8311,3,1,Hereditary leiomyomatosis and renal cell carcinoma (RCC- associated renal cell carcinoma) (C64.9) [2018+]
8311,3,0,"Carcinoma, renal cell, and hereditary leiomyomatosis (RCC- associated renal cell carcinoma) (C64.9) [2018+]"
8311,3,0,HLRCC (Hereditary leiomyomatosis and renal cell cancer) (C64.9) [2018+]
8311,3,0,"Leiomyomatosis, hereditary, and renal cell carcinoma (C64.9) [2018+]"
8311,3,0,MiT family translocation renal cell carcinoma (C64.9) [2018+]
8311,3,0,"Renal cell carcinoma, associated with hereditary leiomyomatosis (C64.9) [2018+]"
8311,3,0,"Renal cell carcinoma, MiT family translocation (C64.9) [2018+]"
8312,3,1,"Renal cell carcinoma, NOS (C64.9)"
8312,3,0,"Adenocarcinoma, renal cell (C64.9)"
8312,3,0,"Carcinoma, renal cell unclassified (C64.9)"
8312,3,0,"Carcinoma, renal cell, NOS (C64.9)"
8312,3,0,Grawitz tumor (C64.9) [obs]
8312,3,0,Hypernephroma (C64.9) [obs]
8312,3,0,Renal cell adenocarcinoma (C64.9)
8312,3,0,"Renal cell carcinoma, unclassified (C64.9) "
8312,3,0,"Tumor, Grawitz (C64.9) [obs]"
8313,0,1,Clear cell adenofibroma (C56.9)
8313,0,0,"Adenofibroma, clear cell (C56.9)"
8313,0,0,Clear cell cystadenofibroma (C56.9)
8313,0,0,"Cystadenofibroma, clear cell (C56.9)"
8313,1,1,Clear cell borderline tumor (C56.9)
8313,1,0,"Adenofibroma, clear cell, of borderline malignancy (C56.9)"
8313,1,0,"Atypical proliferative clear cell tumor (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Borderline tumor, clear cell (C56.9)"
8313,1,0,Clear cell adenofibroma of borderline malignancy (C56.9)
8313,1,0,Clear cell cystadenofibroma of borderline malignancy (C56.9)
8313,1,0,"Clear cell cystic tumor of borderline malignancy (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Clear cell tumor, atypical proliferative (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Cystadenofibroma, clear cell, of borderline malignancy (C56.9)"
8313,1,0,"Cystic clear cell, tumor of borderline malignancy (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Cystic tumor, clear cell, borderline malignancy (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Proliferative clear cell tumor, atypical (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Tumor, clear cell, atypical proliferative (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Tumor, clear cell, cystic, borderline malignancy (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,1,0,"Tumor, cystic, clear cell, borderline malignancy (C56.9) [2021+ ONLY. FOR PRE-2021, USE 8444/1.]"
8313,3,1,Clear cell adenocarcinofibroma (C56.9)
8313,3,0,"Adenocarcinofibroma, clear cell (C56.9)"
8313,3,0,Clear cell cystadenocarcinofibroma (C56.9)
8313,3,0,"Cystadenocarcinofibroma, clear cell (C56.9)"
8314,3,1,Lipid-rich carcinoma (C50._)
8314,3,0,"Carcinoma, lipid-rich (C50._)"
8315,3,1,Glycogen-rich carcinoma (C50._)
8315,3,0,"Carcinoma, clear cell, glycogen-rich [2021+]"
8315,3,0,"Carcinoma, glycogen-rich (C50._)"
8315,3,0,"Carcinoma, glycogen-rich, clear cell [2021+]"
8315,3,0,Glycogen-rich clear cell carcinoma [2021+]
8316,3,1,Cyst-associated renal cell carcinoma (C64.9)
8316,3,0,Acquired cystic disease-associated renal cell carcinoma (RCC) (C64.9) 
8316,3,0,"Carcinoma, renal cell, acquired cystic disease-associated (RCC) (C64.9)"
8316,3,0,"Carcinoma, renal cell, cyst-associated (C64.9)"
8316,3,0,"Carcinoma, renal cell, tubulocystic (C64.9)"
8316,3,0,"Cystic disease-associated renal cell carcinoma, acquired (RCC) (C64.9)"
8316,3,0,"Renal cell carcinoma, acquired cystic disease-associated (RCC) (C64.9) "
8316,3,0,"Renal cell carcinoma, cyst-associated (C64.9)"
8316,3,0,"Renal cell carcinoma, tubulocystic (C64.9)"
8316,3,0,Tubulocystic renal cell carcinoma (C64.9) 
8317,3,1,"Renal cell carcinoma, chromophobe type (C64.9)"
8317,3,0,"Carcinoma, chromophobe cell renal (C64.9)"
8317,3,0,"Carcinoma, renal cell, chromophobe type (C64.9)"
8317,3,0,"Carcinoma, renal, chromophobe cell (C64.9)"
8317,3,0,Chromophobe cell renal carcinoma (C64.9)
8317,3,0,"Renal carcinoma, chromophobe cell (C64.9)"
8318,3,1,"Renal cell carcinoma, sarcomatoid (C64.9)"
8318,3,0,"Carcinoma, renal cell, sarcomatoid (C64.9)"
8318,3,0,"Carcinoma, renal cell, spindle cell (C64.9)"
8318,3,0,"Carcinoma, sarcomatoid renal cell (C64.9)"
8318,3,0,"Carcinoma, spindle cell, renal cell (C64.9)"
8318,3,0,"Renal cell carcinoma, spindle cell (C64.9)"
8318,3,0,"Sarcomatoid carcinoma, renal cell (C64.9)"
8318,3,0,Sarcomatoid renal cell carcinoma (C64.9)
8318,3,0,"Spindle cell carcinoma, renal cell (C64.9)"
8318,3,0,Spindle cell renal cell carcinoma (C64.9)
8319,3,1,Collecting duct carcinoma (C64.9)
8319,3,0,Bellini duct carcinoma (C64.9)
8319,3,0,"Carcinoma, Bellini duct (C64.9)"
8319,3,0,"Carcinoma, collecting duct (C64.9)"
8319,3,0,"Carcinoma, duct, collecting (C64.9)"
8319,3,0,"Carcinoma, renal, collecting duct type (C64.9)"
8319,3,0,Collecting duct type renal carcinoma (C64.9)
8319,3,0,"Duct carcinoma, Bellini (C64.9)"
8319,3,0,"Duct carcinoma, collecting (C64.9)"
8319,3,0,"Duct, Bellini, carcinoma (C64.9)"
8319,3,0,"Duct, renal carcinoma, collecting duct type (C64.9)"
8319,3,0,"Renal carcinoma, collecting duct type (C64.9)"
8320,3,1,Granular cell carcinoma
8320,3,0,"Adenocarcinoma, granular cell"
8320,3,0,"Carcinoma, granular cell"
8320,3,0,Granular cell adenocarcinoma
8321,0,1,Chief cell adenoma (C75.0)
8321,0,0,"Adenoma, chief cell (C75.0)"
8322,0,1,Water-clear cell adenoma (C75.0)
8322,0,0,"Adenoma, water-clear cell (C75.0)"
8322,3,1,Water-clear cell adenocarcinoma (C75.0)
8322,3,0,"Adenocarcinoma, water-clear cell (C75.0)"
8322,3,0,"Carcinoma, water-clear cell (C75.0)"
8322,3,0,Water-clear cell carcinoma (C75.0)
8323,0,1,Mixed cell adenoma
8323,0,0,"Adenoma, mixed cell"
8323,3,1,Mixed cell adenocarcinoma
8323,3,0,"Adenocarcinoma, mixed cell"
8324,0,1,Lipoadenoma
8324,0,0,Adenolipoma
8325,0,1,Metanephric adenoma (C64.9)
8325,0,0,"Adenoma, metanephric (C64.9)"
8330,0,1,"Follicular adenoma, NOS (C73.9)"
8330,0,0,"Adenoma, follicular, NOS (C73.9)"
8330,1,1,Atypical follicular adenoma (C73.9)
8330,1,0,"Adenoma, follicular, atypical (C73.9)"
8330,1,0,"Follicular adenoma, atypical (C73.9)"
8330,3,1,"Follicular carcinoma, NOS (C73.9)"
8330,3,0,"Adenocarcinoma, follicular, NOS (C73.9)"
8330,3,0,"Carcinoma, follicular, NOS (C73.9)"
8330,3,0,"Follicular adenocarcinoma, NOS (C73.9)"
8331,3,1,"Follicular adenocarcinoma, well differentiated (C73.9)"
8331,3,0,"Adenocarcinoma, follicular, well differentiated (C73.9)"
8331,3,0,"Carcinoma, follicular, well differentiated (C73.9)"
8331,3,0,"Follicular carcinoma, well differentiated (C73.9)"
8331,3,0,Well differentiated follicular adenocarcinoma (C73.9)
8331,3,0,Well differentiated follicular carcinoma (C73.9)
8332,3,1,"Follicular adenocarcinoma, trabecular (C73.9)"
8332,3,0,"Adenocarcinoma, follicular, moderately differentiated (C73.9)"
8332,3,0,"Adenocarcinoma, follicular, trabecular (C73.9)"
8332,3,0,"Carcinoma, follicular, moderately differentiated (C73.9)"
8332,3,0,"Carcinoma, follicular, trabecular (C73.9)"
8332,3,0,"Follicular adenocarcinoma, moderately differentiated (C73.9)"
8332,3,0,"Follicular carcinoma, moderately differentiated (C73.9)"
8332,3,0,"Follicular carcinoma, trabecular (C73.9)"
8332,3,0,Moderately differentiated follicular adenocarcinoma (C73.9)
8332,3,0,Moderately differentiated follicular carcinoma (C73.9)
8332,3,0,Trabecular follicular adenocarcinoma (C73.9)
8332,3,0,Trabecular follicular carcinoma (C73.9)
8333,0,1,"Microfollicular adenoma, NOS (C73.9)"
8333,0,0,"Adenoma, fetal (C73.9)"
8333,0,0,"Adenoma, microfollicular, NOS (C73.9)"
8333,0,0,Fetal adenoma (C73.9)
8333,3,1,Fetal adenocarcinoma (C73.9)
8333,3,0,"Adenocarcinoma, fetal (C73.9)"
8334,0,1,Macrofollicular adenoma (C73.9)
8334,0,0,"Adenoma, colloid (C73.9)"
8334,0,0,"Adenoma, macrofollicular (C73.9)"
8334,0,0,Colloid adenoma (C73.9)
8335,1,1,Follicular tumor of uncertain malignant potential (C73.9)
8335,1,0,"Carcinoma, follicular, encapsulated (C73.9) [2021+ NOT REPORTABLE; FOR PRE-2021, USE 8335/3]"
8335,1,0,"Encapsulated follicular carcinoma (C73.9) [2021+ NOT REPORTABLE; FOR PRE-2021, USE 8335/3]"
8335,1,0,"Follicular carcinoma, encapsulated (C73.9) [2021+ NOT REPORTABLE; FOR PRE-2021, USE 8335/3]"
8335,3,1,"Follicular carcinoma, minimally invasive (C73.9)"
8335,3,0,"Carcinoma, follicular, encapsulated (C73.9) [REPORTABLE PRE-2021 ONLY; FOR 2021+, USE 8335/1]"
8335,3,0,"Carcinoma, follicular, minimally invasive (C73.9)"
8335,3,0,"Encapsulated follicular carcinoma (C73.9) [REPORTABLE PRE-2021 ONLY; FOR 2021+, USE 8335/1]"
8335,3,0,"Follicular carcinoma, encapsulated (C73.9) [REPORTABLE PRE-2021 ONLY; FOR 2021+, USE 8335/1]"
8335,3,0,Minimally invasive follicular carcinoma (C73.9)
8336,0,1,Hyalinizing trabecular adenoma (C73.9)
8336,0,0,"Adenoma, trabecular, hyalinizing (C73.9)"
8336,0,0,"Trabecular adenoma, hyalinizing (C73.9)"
8337,3,1,Poorly differentiated thyroid carcinoma (C73.9) [2021+]
8337,3,0,"Carcinoma, insular (C73.9)"
8337,3,0,"Carcinoma, thyroid, poorly differentiated (C73.9) [2021+]"
8337,3,0,Insular carcinoma (C73.9)
8339,3,1,"Follicular thyroid carcinoma (FTC), encapsulated angioinvasive (C73.9) [2018+]"
8339,3,0,Angioinvasive encapsulated follicular thyroid carcinoma (FTC) (C73.9) [2018+]
8339,3,0,"Carcinoma, follicular thyroid (FTC), encapsulated angioinvasive (C73.9) [2018+]"
8339,3,0,Encapsulated angioinvasive follicular thyroid carcinoma (FTC) (C73.9) [2018+]
8339,3,0,"FTC (follicular thyroid carcinoma), encapsulated angioinvasive (C73.9) [2018+]"
8340,3,1,"Papillary carcinoma, follicular variant (C73.9)"
8340,3,0,"Adenocarcinoma, follicular and papillary (C73.9)"
8340,3,0,"Adenocarcinoma, papillary and follicular (C73.9)"
8340,3,0,"Adenocarcinoma, papillary, follicular variant (C73.9)"
8340,3,0,"Carcinoma, follicular and papillary (C73.9)"
8340,3,0,"Carcinoma, papillary and follicular (C73.9)"
8340,3,0,"Carcinoma, papillary, follicular variant (C73.9)"
8340,3,0,Follicular and papillary adenocarcinoma (C73.9)
8340,3,0,Follicular and papillary carcinoma (C73.9)
8340,3,0,"Follicular variant, papillary adenocarcinoma (C73.9)"
8340,3,0,"Follicular variant, papillary carcinoma (C73.9)"
8340,3,0,"Papillary adenocarcinoma, follicular variant (C73.9)"
8340,3,0,Papillary and follicular adenocarcinoma (C73.9)
8340,3,0,Papillary and follicular carcinoma (C73.9)
8340,3,0,"Papillary, follicular variant, adenocarcinoma (C73.9)"
8341,3,1,Papillary microcarcinoma (C73.9)
8341,3,0,"Microcarcinoma, papillary (C73.9)"
8342,3,1,"Papillary carcinoma, oncocytic variant (C73.9) [2021+]"
8342,3,0,"Carcinoma, papillary, oncocytic variant (C73.9) [2021+]"
8342,3,0,"Carcinoma, papillary, oxyphilic cell (C73.9)"
8342,3,0,Oncocytic variant papillary carcinoma (C73.9) [2021+]
8342,3,0,Oxyphilic cell papillary carcinoma (C73.9)
8342,3,0,"Papillary carcinoma, oxyphilic cell (C73.9)"
8343,2,1,Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]
8343,2,0,"Carcinoma, encapsulated follicular variant of papillary thyroid carcinoma, non-invasive (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"Carcinoma, papillary thyroid, follicular variant, non-invasive encapsulated (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"EFVPTC (Encapsulated follicular variant of papillary thyroid carcinoma), non-invasive (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"Encapsulated follicular variant of papillary thyroid carcinoma, non-invasive (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"Follicular thyroid neoplasm w/papillary-like nuclear features, non-invasive (NIFTP) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"Follicular variant of papillary thyroid carcinoma, encapsulated non-invasive (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"Follicular variant of papillary thyroid carcinoma, non-invasive encapsulated (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"FTP, non-invasive (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,"Neoplasm, follicular thyroid w/papillary-like nuclear features, non-invasive (NIFTP) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,2,0,NIFTP (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]
8343,2,0,Non-invasive EFVPTC (encapsulated follicular variant of papillary thyroid carcinoma) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]
8343,2,0,Non-invasive encapsulated follicular variant of papillary thyroid carcinoma (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]
8343,2,0,Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]
8343,2,0,Non-invasive FTP (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]
8343,2,0,"Papillary thyroid carcinoma, follicular variant, encapsulated non-invasive (non-invasive EFVPTC) (C73.9) [REPORTABLE 2017-2020 ONLY. FOR 2021+ USE CODE 8349/1.]"
8343,3,1,"Papillary carcinoma, encapsulated (C73.9)"
8343,3,0,"Carcinoma, papillary, encapsulated (C73.9)"
8343,3,0,"EFVPTC, invasive [or NOS] (C73.9)"
8343,3,0,"Encapsulated follicular variant of papillary thyroid carcinoma, invasive (invasive EFVPTC)"
8343,3,0,"Encapsulated follicular variant of papillary thyroid carcinoma, NOS (EFVPTC, NOS) (C73.9) (2017+)"
