Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
theophyllinate,1,Choline,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Cholinergic(drug) NEC,0,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
muscle tone enhancer,1,Cholinergic(drug) NEC,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
organophosphorus,1,Cholinergic(drug) NEC,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
insecticide,2,organophosphorus,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
nerve gas,2,organophosphorus,T59.891,T59.892,T59.893,T59.894,,
trimethyl ammonium propanediol,1,Cholinergic(drug) NEC,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
Cholinesterase reactivator,0,,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
Cholografin,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Chorionic gonadotropin,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Chromate,0,,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
dust or mist,1,Chromate,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
lead,1,Chromate,T56.0X1,T56.0X2,T56.0X3,T56.0X4,,
paint,2,lead,T56.0X1,T56.0X2,T56.0X3,T56.0X4,,
Chromic,0,,,,,,,
acid,1,Chromic,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
dust or mist,2,acid,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
phosphate 32P,1,Chromic,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Chromium,0,,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
compounds,1,Chromium,,,,,,
sesquioxide,1,Chromium,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Chromomycin A3,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Chromonar,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Chromyl chloride,0,,T56.2X1,T56.2X2,T56.2X3,T56.2X4,,
Chrysarobin,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Chrysazin,0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Chymar,0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
ophthalmic preparation,1,Chymar,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Chymopapain,0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
Chymotrypsin,0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
ophthalmic preparation,1,Chymotrypsin,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Cianidanol,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Cianopramine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Cibenzoline,0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
Ciclacillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Ciclobarbital,0,,,,,,,
Ciclonicate,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Ciclopirox(olamine),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Ciclosporin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Cicuta maculata or virosa,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cicutoxin,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cigarette lighter fluid,0,,T52.0X1,T52.0X2,T52.0X3,T52.0X4,,
Cigarettes(tobacco),0,,T65.221,T65.222,T65.223,T65.224,,
Ciguatoxin,0,,T61.01,T61.02,T61.03,T61.04,,
Cilazapril,0,,T46.4X1,T46.4X2,T46.4X3,T46.4X4,T46.4X5,T46.4X6
Cimetidine,0,,T47.0X1,T47.0X2,T47.0X3,T47.0X4,T47.0X5,T47.0X6
Cimetropium bromide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Cinchocaine,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
topical(surface),1,Cinchocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Cinchona,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Cinchonine alkaloids,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Cinchophen,0,,T50.4X1,T50.4X2,T50.4X3,T50.4X4,T50.4X5,T50.4X6
Cinepazide,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Cinnamedrine,0,,T48.5X1,T48.5X2,T48.5X3,T48.5X4,T48.5X5,T48.5X6
Cinnarizine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Cinoxacin,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Ciprofibrate,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Ciprofloxacin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Cisapride,0,,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Cisplatin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Citalopram,0,,T43.221,T43.222,T43.223,T43.224,T43.225,T43.226
Citanest,0,,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
infiltration(subcutaneous),1,Citanest,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
nerve block(peripheral) (plexus),1,Citanest,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Citric acid,0,,T47.5X1,T47.5X2,T47.5X3,T47.5X4,T47.5X5,T47.5X6
Citrovorum(factor),0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Claviceps purpurea,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Clavulanic acid,0,,T36.1X1,T36.1X2,T36.1X3,T36.1X4,T36.1X5,T36.1X6
"Cleaner, cleansing agent, type not specified",0,,T65.891,T65.892,T65.893,T65.894,,
of paint or varnish,1,Cleaner, cleansing agent, type not specified,T52.91,T52.92,T52.93,T52.94,,
specified type NEC,1,Cleaner, cleansing agent, type not specified,T65.891,T65.892,T65.893,T65.894,,
Clebopride,0,,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Clefamide,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
Clemastine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Clematis vitalba,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Clemizole,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
penicillin,1,Clemizole,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Clenbuterol,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Clidinium bromide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Clindamycin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Clinofibrate,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Clioquinol,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Cliradon,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Clobazam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Clobenzorex,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Clobetasol,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Clobetasone,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Clobutinol,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Clocortolone,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Clodantoin,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Clodronic acid,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Clofazimine,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Clofedanol,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Clofenamide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Clofenotane,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Clofezone,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Clofibrate,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Clofibride,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Cloforex,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Clomethiazole,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Clometocillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Clomifene,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Clomiphene,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Clomipramine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Clomocycline,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
Clonazepam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Clonidine,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Clonixin,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Clopamide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Clopenthixol,0,,T43.4X1,T43.4X2,T43.4X3,T43.4X4,T43.4X5,T43.4X6
Cloperastine,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Clophedianol,0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Cloponone,0,,T36.2X1,T36.2X2,T36.2X3,T36.2X4,T36.2X5,T36.2X6
Cloprednol,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Cloral betaine,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Cloramfenicol,0,,T36.2X1,T36.2X2,T36.2X3,T36.2X4,T36.2X5,T36.2X6
Clorazepate(dipotassium),0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Clorexolone,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Clorfenamine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Clorgiline,0,,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
Clorotepine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Clorox(bleach),0,,T54.91,T54.92,T54.93,T54.94,,
Clorprenaline,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Clortermine,0,,T50.5X1,T50.5X2,T50.5X3,T50.5X4,T50.5X5,T50.5X6
Clotiapine,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Clotiazepam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Clotibric acid,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Clotrimazole,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cloxacillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Cloxazolam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Cloxiquine,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Clozapine,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Coagulant NEC,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
Coal(carbon monoxide from),0,,T58.2X1,T58.2X2,T58.2X3,T58.2X4,,
oil,1,Coal(carbon monoxide from),,,,,,
tar,1,Coal(carbon monoxide from),T49.1X1,T49.1X2,T49.1X3,T49.1X4,T49.1X5,T49.1X6
fumes,2,tar,T59.891,T59.892,T59.893,T59.894,,
medicinal(ointment),2,tar,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
analgesics NEC,3,medicinal(ointment),T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
naphtha(solvent),2,tar,T52.0X1,T52.0X2,T52.0X3,T52.0X4,,
Cobalamine,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Cobalt(nonmedicinal) (fumes) (industrial),0,,T56.891,T56.892,T56.893,T56.894,,
medicinal(trace) (chloride),1,Cobalt(nonmedicinal) (fumes) (industrial),T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Cobra(venom),0,,T63.041,T63.042,T63.043,T63.044,,
Coca(leaf),0,,T40.5X1,T40.5X2,T40.5X3,T40.5X4,T40.5X5,T40.5X6
Cocaine,0,,T40.5X1,T40.5X2,T40.5X3,T40.5X4,T40.5X5,T40.5X6
topical anesthetic,1,Cocaine,T41.3X1,T41.3X2,T41.3X3,T41.3X4,T41.3X5,T41.3X6
Cocarboxylase,0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
Coccidioidin,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Cocculus indicus,0,,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Cochineal,0,,T65.6X1,T65.6X2,T65.6X3,T65.6X4,,
medicinal products,1,Cochineal,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Codeine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Cod-liver oil,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Coenzyme A,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Coffee,0,,T62.8X1,T62.8X2,T62.8X3,T62.8X4,,
Cogalactoiso-merase,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Cogentin,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Coke fumes or gas(carbon monoxide),0,,T58.2X1,T58.2X2,T58.2X3,T58.2X4,,
industrial use,1,Coke fumes or gas(carbon monoxide),T58.8X1,T58.8X2,T58.8X3,T58.8X4,,
Colace,0,,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
Colaspase,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Colchicine,0,,T50.4X1,T50.4X2,T50.4X3,T50.4X4,T50.4X5,T50.4X6
Colchicum,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Cold cream,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Colecalciferol,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Colestipol,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Colestyramine,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Colimycin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Colistimethate,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Colistin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
sulfate(eye preparation),1,Colistin,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Collagen,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Collagenase,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Collodion,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Colocynth,0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Colophony adhesive,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Colorant,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Coloring matter,0,,,,,,,
Combustion gas(after combustion),0,,,,,,,
prior to combustion,1,Combustion gas(after combustion),T59.891,T59.892,T59.893,T59.894,,
Compazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Compound,0,,,,,,,
42(warfarin),1,Compound,T60.4X1,T60.4X2,T60.4X3,T60.4X4,,
269(endrin),1,Compound,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
497(dieldrin),1,Compound,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
1080(sodium fluoroacetate),1,Compound,T60.4X1,T60.4X2,T60.4X3,T60.4X4,,
3422(parathion),1,Compound,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
3911(phorate),1,Compound,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
3956(toxaphene),1,Compound,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
4049(malathion),1,Compound,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
4069(malathion),1,Compound,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
4124(dicapthon),1,Compound,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
E(cortisone),1,Compound,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
F(hydrocortisone),1,Compound,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
"Congener, anabolic",0,,T38.7X1,T38.7X2,T38.7X3,T38.7X4,T38.7X5,T38.7X6
Congo red,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
"Coniine, conine",0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Conium(maculatum),0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Conjugated estrogenic substances,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Contac,0,,T48.5X1,T48.5X2,T48.5X3,T48.5X4,T48.5X5,T48.5X6
Contact lens solution,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Contraceptive(oral),0,,T38.4X1,T38.4X2,T38.4X3,T38.4X4,T38.4X5,T38.4X6
vaginal,1,Contraceptive(oral),T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
"Contrast medium, radiography",0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Convallaria glycosides,0,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
Convallaria majalis,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
berry,1,Convallaria majalis,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Copper(dust) (fumes) (nonmedicinal) NEC,0,,T56.4X1,T56.4X2,T56.4X3,T56.4X4,,
"arsenate, arsenite",1,Copper(dust) (fumes) (nonmedicinal) NEC,T57.0X1,T57.0X2,T57.0X3,T57.0X4,,
insecticide,2,arsenate, arsenite,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
emetic,1,Copper(dust) (fumes) (nonmedicinal) NEC,T47.7X1,T47.7X2,T47.7X3,T47.7X4,T47.7X5,T47.7X6
fungicide,1,Copper(dust) (fumes) (nonmedicinal) NEC,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
gluconate,1,Copper(dust) (fumes) (nonmedicinal) NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
insecticide,1,Copper(dust) (fumes) (nonmedicinal) NEC,T60.2X1,T60.2X2,T60.2X3,T60.2X4,,
medicinal(trace),1,Copper(dust) (fumes) (nonmedicinal) NEC,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
oleate,1,Copper(dust) (fumes) (nonmedicinal) NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
sulfate,1,Copper(dust) (fumes) (nonmedicinal) NEC,T56.4X1,T56.4X2,T56.4X3,T56.4X4,,
cupric,2,sulfate,T56.4X1,T56.4X2,T56.4X3,T56.4X4,,
fungicide,3,cupric,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
medicinal,3,cupric,,,,,,
ear,4,medicinal,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
emetic,4,medicinal,T47.7X1,T47.7X2,T47.7X3,T47.7X4,T47.7X5,T47.7X6
eye,4,medicinal,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
cuprous,2,sulfate,T56.4X1,T56.4X2,T56.4X3,T56.4X4,,
fungicide,2,sulfate,T60.3X1,T60.3X2,T60.3X3,T60.3X4,,
medicinal,2,sulfate,,,,,,
ear,3,medicinal,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
emetic,3,medicinal,T47.7X1,T47.7X2,T47.7X3,T47.7X4,T47.7X5,T47.7X6
eye,3,medicinal,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Copperhead snake(bite) (venom),0,,T63.061,T63.062,T63.063,T63.064,,
Coral(sting),0,,T63.691,T63.692,T63.693,T63.694,,
snake(bite) (venom),1,Coral(sting),T63.021,T63.022,T63.023,T63.024,,
Corbadrine,0,,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
Cordite,0,,T65.891,T65.892,T65.893,T65.894,,
vapor,1,Cordite,T59.891,T59.892,T59.893,T59.894,,
Cordran,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Corn cures,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Corn starch,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Cornhusker's lotion,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Coronary vasodilator NEC,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Corrosive NEC,0,,T54.91,T54.92,T54.93,T54.94,,
acid NEC,1,Corrosive NEC,T54.2X1,T54.2X2,T54.2X3,T54.2X4,,
aromatics,1,Corrosive NEC,T54.1X1,T54.1X2,T54.1X3,T54.1X4,,
disinfectant,2,aromatics,T54.1X1,T54.1X2,T54.1X3,T54.1X4,,
fumes NEC,1,Corrosive NEC,T54.91,T54.92,T54.93,T54.94,,
specified NEC,1,Corrosive NEC,T54.91,T54.92,T54.93,T54.94,,
sublimate,1,Corrosive NEC,T56.1X1,T56.1X2,T56.1X3,T56.1X4,,
Cortate,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Cort-Dome,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Cort-Dome,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cort-Dome,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Cort-Dome,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cortef,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Cortef,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cortef,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Cortef,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Corticosteroid,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Corticosteroid,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
mineral,1,Corticosteroid,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
ophthalmic,1,Corticosteroid,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Corticosteroid,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Corticotropin,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Cortisol,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
ENT agent,1,Cortisol,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cortisol,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Cortisol,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cortisone(acetate),0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Cortisone(acetate),T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cortisone(acetate),T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Cortisone(acetate),T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Cortivazol,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
Cortogen,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Cortogen,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cortogen,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Cortone,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Cortone,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Cortone,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Cortril,0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
